"132","AAPL","125.586","55018154","74016","4/30/2015","2:09pm"
"133","FB","79.320","14361293","22265","4/30/2015","2:09pm"
"134","GOOG","538.530","1141264","15179","4/30/2015","2:09pm"
"135","YHOO","42.730","6711497","16893","4/30/2015","2:09pm"
"136","SIRI","3.930","20775853","12000","4/30/2015","2:09pm"
"137","GE","27.220","24983280","21222","4/30/2015","2:09pm"
"138","S","5.120","8325607","4457","4/30/2015","2:09pm"
"139","BAC","15.980","46991149","44018","4/30/2015","2:09pm"
"140","MSFT","49.160","40914420","95229","4/30/2015","2:09pm"
"141","AMZN","423.640","1902399","17565","4/30/2015","2:10pm"
"142","AAPL","125.530","55097037","78883","4/30/2015","2:10pm"
"143","FB","79.285","14416899","55606","4/30/2015","2:10pm"
"144","GOOG","538.490","1150269","9005","4/30/2015","2:10pm"
"145","YHOO","42.710","6756850","45353","4/30/2015","2:10pm"
"146","SIRI","3.930","20794579","18726","4/30/2015","2:10pm"
"147","GE","27.230","25020470","37190","4/30/2015","2:10pm"
"148","S","5.125","8338507","12900","4/30/2015","2:10pm"
"149","BAC","15.980","47010786","19637","4/30/2015","2:10pm"
"150","MSFT","49.150","41002870","88450","4/30/2015","2:10pm"
"151","AMZN","423.665","1906956","4557","4/30/2015","2:11pm"
"152","AAPL","125.535","55257794","160757","4/30/2015","2:11pm"
"153","FB","79.211","14546225","129326","4/30/2015","2:11pm"
"154","GOOG","538.500","1156647","6378","4/30/2015","2:11pm"
"155","YHOO","42.710","6782489","25639","4/30/2015","2:11pm"
"156","SIRI","3.930","20803930","9351","4/30/2015","2:11pm"
"157","GE","27.205","25073773","53303","4/30/2015","2:11pm"
"158","S","5.125","8356910","18403","4/30/2015","2:11pm"
"159","BAC","15.980","47176110","165324","4/30/2015","2:11pm"
"160","MSFT","49.150","41047595","44725","4/30/2015","2:11pm"
"161","AMZN","423.620","1921626","14670","4/30/2015","2:12pm"
"162","AAPL","125.660","55402165","144371","4/30/2015","2:12pm"
"163","FB","79.245","14641522","95297","4/30/2015","2:12pm"
"164","GOOG","538.670","1161738","5091","4/30/2015","2:12pm"
"165","YHOO","42.740","6839003","56514","4/30/2015","2:12pm"
"166","SIRI","3.930","20818241","14311","4/30/2015","2:12pm"
"167","GE","27.235","25123305","49532","4/30/2015","2:12pm"
"168","S","5.120","8538058","181148","4/30/2015","2:12pm"
"169","BAC","15.990","47253682","77572","4/30/2015","2:12pm"
"170","MSFT","49.170","41184931","137336","4/30/2015","2:12pm"
"171","AMZN","423.970","1927149","5523","4/30/2015","2:13pm"
"172","AAPL","125.660","55516341","114176","4/30/2015","2:13pm"
"173","FB","79.279","14723471","81949","4/30/2015","2:13pm"
"174","GOOG","538.920","1163461","1723","4/30/2015","2:13pm"
"175","YHOO","42.730","6852789","13786","4/30/2015","2:13pm"
"176","SIRI","3.940","20995041","176800","4/30/2015","2:13pm"
"177","GE","27.245","25191982","68677","4/30/2015","2:13pm"
"178","S","5.110","8598624","60566","4/30/2015","2:13pm"
"179","BAC","15.995","47382647","128965","4/30/2015","2:13pm"
"180","MSFT","49.150","41414964","230033","4/30/2015","2:13pm"
"181","AMZN","423.700","1930487","3338","4/30/2015","2:13pm"
"182","AAPL","125.670","55617808","101467","4/30/2015","2:14pm"
"183","FB","79.240","14753045","29574","4/30/2015","2:14pm"
"184","GOOG","539.060","1163699","238","4/30/2015","2:13pm"
"185","YHOO","42.720","6874105","21316","4/30/2015","2:14pm"
"186","SIRI","3.940","21115226","120185","4/30/2015","2:14pm"
"187","GE","27.236","25237545","45563","4/30/2015","2:14pm"
"188","S","5.110","8766236","167612","4/30/2015","2:14pm"
"189","BAC","16.000","47422911","40264","4/30/2015","2:14pm"
"190","MSFT","49.140","41534583","119619","4/30/2015","2:14pm"
"191","AMZN","423.890","1938204","7717","4/30/2015","2:15pm"
"192","AAPL","125.745","55749261","131453","4/30/2015","2:15pm"
"193","FB","79.216","14785633","32588","4/30/2015","2:15pm"
"194","GOOG","539.010","1164845","1146","4/30/2015","2:15pm"
"195","YHOO","42.710","6878453","4348","4/30/2015","2:15pm"
"196","SIRI","3.940","21201229","86003","4/30/2015","2:15pm"
"197","GE","27.235","25255491","17946","4/30/2015","2:15pm"
"198","S","5.105","8772136","5900","4/30/2015","2:15pm"
"199","BAC","15.995","47490809","67898","4/30/2015","2:15pm"
"200","MSFT","49.150","41577464","42881","4/30/2015","2:15pm"
"201","AMZN","423.660","1942106","3902","4/30/2015","2:16pm"
"202","AAPL","125.680","55862243","112982","4/30/2015","2:16pm"
"203","FB","79.160","14877122","91489","4/30/2015","2:16pm"
"204","GOOG","538.460","1166725","1880","4/30/2015","2:15pm"
"205","YHOO","42.690","6913111","34658","4/30/2015","2:16pm"
"206","SIRI","3.940","21941721","740492","4/30/2015","2:16pm"
"207","GE","27.240","25274576","19085","4/30/2015","2:16pm"
"208","S","5.125","8892752","120616","4/30/2015","2:16pm"
"209","BAC","16.000","47518671","27862","4/30/2015","2:16pm"
"210","MSFT","49.150","41652147","74683","4/30/2015","2:16pm"
"211","AMZN","423.250","1957378","15272","4/30/2015","2:17pm"
"212","AAPL","125.607","55938813","76570","4/30/2015","2:17pm"
"213","FB","79.110","15007022","129900","4/30/2015","2:17pm"
"214","GOOG","538.360","1167090","365","4/30/2015","2:17pm"
"215","YHOO","42.660","7050691","137580","4/30/2015","2:17pm"
"216","SIRI","3.940","22079767","138046","4/30/2015","2:17pm"
"217","GE","27.240","25289940","15364","4/30/2015","2:17pm"
"218","S","5.117","8923445","30693","4/30/2015","2:17pm"
"219","BAC","16.000","47570931","52260","4/30/2015","2:17pm"
"220","MSFT","49.150","41702335","50188","4/30/2015","2:17pm"
"221","AMZN","423.460","1959444","2066","4/30/2015","2:18pm"
"222","AAPL","125.640","56001402","62589","4/30/2015","2:18pm"
"223","FB","79.130","15065588","58566","4/30/2015","2:18pm"
"224","GOOG","538.780","1169721","2631","4/30/2015","2:18pm"
"225","YHOO","42.670","7066480","15789","4/30/2015","2:18pm"
"226","SIRI","3.940","22081567","1800","4/30/2015","2:18pm"
"227","GE","27.220","25306873","16933","4/30/2015","2:18pm"
"228","S","5.115","8937945","14500","4/30/2015","2:18pm"
"229","BAC","16.000","47582222","11291","4/30/2015","2:18pm"
"230","MSFT","49.155","41728185","25850","4/30/2015","2:18pm"
"231","AMZN","423.410","1962608","3164","4/30/2015","2:19pm"
"232","AAPL","125.605","56137830","136428","4/30/2015","2:19pm"
"233","FB","79.161","15148314","82726","4/30/2015","2:19pm"
"234","GOOG","538.740","1170874","1153","4/30/2015","2:19pm"
"235","YHOO","42.670","7109796","43316","4/30/2015","2:19pm"
