"393","FB","78.644","68.272","-0.091"
"394","GOOG","537.786","466.986","0.278"
"395","YHOO","42.472","36.877","-0.031"
"396","SIRI","3.912","3.396","-0.002"
"397","GE","27.052","23.486","-0.038"
"398","S","5.076","4.405","-0.010"
"399","BAC","15.891","13.796","-0.005"
"400","MSFT","48.924","42.472","0.013"
"401","AMZN","421.458","365.802","-0.245"
"402","AAPL","125.176","108.659","0.001"
"403","FB","78.625","68.233","-0.090"
"404","GOOG","537.848","467.000","0.240"
"405","YHOO","42.466","36.873","-0.031"
"406","SIRI","3.911","3.395","-0.003"
"407","GE","27.047","23.482","-0.042"
"408","S","5.076","4.407","-0.011"
"409","BAC","15.884","13.786","-0.007"
"410","MSFT","48.904","42.446","0.004"
"411","AMZN","421.168","365.513","-0.330"
"412","AAPL","125.108","108.593","-0.001"
"413","FB","78.572","68.184","-0.066"
"414","GOOG","537.714","466.807","0.196"
"415","YHOO","42.462","36.868","-0.026"
"416","SIRI","3.911","3.397","-0.004"
"417","GE","27.038","23.471","-0.043"
"418","S","5.076","4.409","-0.012"
"419","BAC","15.875","13.776","-0.007"
"420","MSFT","48.883","42.429","0.002"
"421","AMZN","420.889","365.280","-0.405"
"422","AAPL","125.080","108.589","-0.001"
"423","FB","78.536","68.178","-0.039"
"424","GOOG","537.612","466.749","0.186"
"425","YHOO","42.460","36.865","-0.029"
"426","SIRI","3.913","3.400","-0.005"
"427","GE","27.032","23.468","-0.047"
"428","S","5.076","4.409","-0.014"
"429","BAC","15.867","13.772","-0.008"
"430","MSFT","48.866","42.421","-0.006"
"431","AMZN","420.609","364.990","-0.488"
"432","AAPL","125.030","108.530","-0.019"
"433","FB","78.503","68.152","-0.027"
"434","GOOG","537.544","466.669","0.204"
"435","YHOO","42.450","36.852","-0.035"
"436","SIRI","3.912","3.396","-0.005"
"437","GE","27.025","23.461","-0.052"
"438","S","5.078","4.410","-0.014"
"439","BAC","15.856","13.762","-0.013"
"440","MSFT","48.846","42.404","-0.012"
"441","AMZN","420.401","364.932","-0.541"
"442","AAPL","124.992","108.516","-0.042"
"443","FB","78.497","68.166","-0.015"
"444","GOOG","537.472","466.670","0.139"
"445","YHOO","42.441","36.846","-0.039"
"446","SIRI","3.910","3.393","-0.004"
"447","GE","27.029","23.474","-0.055"
"448","S","5.080","4.411","-0.015"
"449","BAC","15.848","13.757","-0.016"
"450","MSFT","48.842","42.413","-0.019"
"451","AMZN","420.257","364.890","-0.588"
"452","AAPL","124.965","108.499","-0.066"
